PARCEL_APN,TAXAPN,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,LATITUDE,LONGITUDE,ASSESSEE_OWNER_NAME_1,ASSESSEE_OWNER_NAME_2,ASSESSEE_MAIL_CITY,ASSESSEE_MAIL_STATE,ASSESSEE_MAIL_ZIP,VAL_ASSD_LAND,VAL_ASSD_IMPRV,VAL_ASSD,ASMT_YEAR,ASMT_RCDRS_DATE_TRANSFER,ASMT_VAL_TRANSFER,USE_CODE_MUNI_DESC,USE_CODE_MUNI,USE_CODE_STD_LPS,USE_CODE_STD_DESC_LPS,ZONING,LOT_SIZE_AREA,LOT_SIZE_AREA_UNIT,LIVING_SQFT,YR_BLT,BUILDING_SQFT,STORIES_NUMBER,UNITS_NUMBER,BEDROOMS,TOTAL_BATHS_CALCULATED,VAL_MRKT_LAND,VAL_MRKT_IMPRV,VAL_MARKET,LAST_SALE_DATE_TRANSFER,VAL_TRANSFER,JURISDICTION,H3_INT_9,vacancy_tier,exclusion_reason
12100100300000,121-0010-030-0000,7700 FLORENCIA LN,SACRAMENTO,CA,95829.0,38.476948,-121.364108,A & C REAL ESTATE DEVELOPMENT LLC,,SACRAMENTO,CA,95829.0,2531355.0,,2531355.0,2024.0,,0.0,RES/SINGLE FAMILY/RURAL HOME(OVER 5 AC),A1E00A,1008.0,RURAL/AGRICULTURAL RESIDENCE,AR-10,10.4,AC,1121.0,1954.0,1121.0,1,,3.0,,,,,20211220.0,6873500.0,UNINCORPORATED COUNTY,617700307883524095,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
11506101100000,115-0610-110-0000,ELK GROVE FLORIN RD,SACRAMENTO,CA,95828.0,38.4681,-121.372056,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19910321.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-7 RD-2,19602.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700307891388415,Tier 2: Zero Improvement,public_park_or_recreation_agency
12102900880000,121-0290-088-0000,VINTAGE PARK DR,SACRAMENTO,CA,95829.0,38.465442,-121.368313,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19890209.0,0.0,VACANT RESIDENTIAL UNDER 2 AC,IAEAAA,8001.0,RESIDENTIAL-VACANT LAND,RD-5,6895.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700307892961279,Tier 1: Coded Vacant,public_park_or_recreation_agency
12103200670000,121-0320-067-0000,VINTAGE PARK DR,SACRAMENTO,CA,95829.0,38.464808,-121.364735,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19890209.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,683.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308393394175,Tier 2: Zero Improvement,public_park_or_recreation_agency
12103200680000,121-0320-068-0000,VINTAGE PARK DR,SACRAMENTO,CA,95829.0,38.464797,-121.363387,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19890209.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,3197.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308393394175,Tier 2: Zero Improvement,public_park_or_recreation_agency
12107100660000,121-0710-066-0000,VINTAGE PARK DR,SACRAMENTO,CA,95829.0,38.464138,-121.355808,SOUTHGATE RECREATIONAL & PARK DISTRICTS,,SACRAMENTO,CA,95823.0,,,,2024.0,,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-7,1579.0,SF,,,,,,,,,,,20120925.0,,UNINCORPORATED COUNTY,617700307878019071,Tier 2: Zero Improvement,public_park_or_recreation_agency
12109300910000,121-0930-091-0000,WATERMAN RD,SACRAMENTO,CA,95829.0,38.474313,-121.353534,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,20020814.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-7,1454.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700307868581887,Tier 2: Zero Improvement,public_park_or_recreation_agency
12109300920000,121-0930-092-0000,WATERMAN RD,SACRAMENTO,CA,95829.0,38.473232,-121.35353,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,20020814.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-7,6132.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700307868581887,Tier 2: Zero Improvement,public_park_or_recreation_agency
12109201140000,121-0920-114-0000,WATERMAN RD,SACRAMENTO,CA,95829.0,38.471803,-121.353518,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,20020814.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-7,8810.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700307869630463,Tier 2: Zero Improvement,public_park_or_recreation_agency
12107100670000,121-0710-067-0000,WATERMAN RD,SACRAMENTO,CA,95829.0,38.464078,-121.355445,SOUTHGATE RECREATIONAL & PARK DISTRICTS,,SACRAMENTO,CA,95823.0,,,,2024.0,,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-7,16500.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700307878019071,Tier 2: Zero Improvement,public_park_or_recreation_agency
12112500480000,121-1250-048-0000,SCRIMSHAW WAY,SACRAMENTO,CA,95829.0,38.462869,-121.344238,SOUTHGATE RECREATION AND PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,0.0,,,,,,,,,,,,20230516.0,,UNINCORPORATED COUNTY,617700307875397631,Tier 2: Zero Improvement,public_park_or_recreation_agency
12207300760000,122-0730-076-0000,BRADSHAW RD,SACRAMENTO,CA,95829.0,38.466981,-121.334549,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,20090424.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,2898.0,SF,,,,,,,,,,,20090424.0,,UNINCORPORATED COUNTY,617700307871727615,Tier 2: Zero Improvement,public_park_or_recreation_agency
12112500490000,121-1250-049-0000,SCRIMSHAW WAY,SACRAMENTO,CA,95829.0,38.463009,-121.342778,SOUTHGATE RECREATION AND PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,0.0,,,,,,,,,,,,20230516.0,,UNINCORPORATED COUNTY,617700307867271167,Tier 2: Zero Improvement,public_park_or_recreation_agency
12207300770000,122-0730-077-0000,BRADSHAW RD,SACRAMENTO,CA,95829.0,38.4659,-121.334542,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,20090424.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,7974.0,SF,,,,,,,,,,,20090424.0,,UNINCORPORATED COUNTY,617700307871727615,Tier 2: Zero Improvement,public_park_or_recreation_agency
